  disasm                           seq_num  
ldr r12, [pc, #36]                      1
mov fp, #0                              2
ldr r1, [sp] #4                         3
addi_uop sp, sp, #4                     4
mov r2, sp                              5
str r2, [sp, #-4]!                      6
subi_uop sp, sp, #4                     7
str r0, [sp, #-4]!                      8
subi_uop sp, sp, #4                     9
ldr r0, [pc, #16]                      10
ldr r3, [pc, #16]                      11
str r12, [sp, #-4]!                    12
subi_uop sp, sp, #4                    13
bl                                     14
ldr r12, [pc, #664]                    17
str_uop r4, [sp, #24]                  18
str_uop r5, [sp, #20]                  19
str_uop r6, [sp, #16]                  20
str_uop r7, [sp, #12]                  21
str_uop r8, [sp, #8]                   22
str_uop lr, [sp, #4]                   23
subi_uop sp, sp, #24                   24
cmps r12, #0                           25
sub sp, sp, #304                       26
mov r6, r3                             27
str r2, [sp, #4]                       28
str r0, [sp, #12]                      29
str r1, [sp, #8]                       30
ldr r8, [sp, #328]                     31
ldr r7, [sp, #332]                     32
moveq r2, r12                          33
bne                                    34
ldr r3, [sp, #8]                       35
ldr r0, [pc, #616]                     36
add r1, r3, #1                         37
ldr r3, [sp, #4]                       38
mov r1, r1, LSL #2                     39
add r1, r3, r1                         40
ldr r3, [pc, #600]                     41
mov r12, r1                            42
str r2, [r3, #0]                       43
ldr r3, [sp, #336]                     44
ldr r2, [pc, #588]                     45
str r3, [r0, #0]                       46
str r1, [r2, #0]                       47
ldr r3, [r12] #4                       48
addi_uop r12, r12, #4                  49
cmps r3, #0                            50
bne                                    51
mov r0, r12                            52
bl                                     53
ldr r3, [r0, #0]                       61
str_uop r4, [sp, #32]                  62
str_uop r5, [sp, #28]                  63
str_uop r6, [sp, #24]                  64
str_uop r7, [sp, #20]                  65
str_uop r8, [sp, #16]                  66
str_uop r9, [sp, #12]                  67
str_uop r10, [sp, #8]                  68
str_uop fp, [sp, #4]                   69
subi_uop sp, sp, #32                   70
cmps r3, #0                            71
sub sp, sp, #8                         72
beq                                    73
ldr r1, [pc, #620]                     74
ldr r4, [pc, #620]                     75
mov r2, #0                             76
ldr r5, [r1, #0]                       77
ldr r1, [pc, #612]                     78
ldr r6, [r4, #4]                       79
add r0, r0, #8                         80
ldr r1, [r1, #0]                       81
mov r12, r2                            82
str r1, [sp, #4]                       83
ldr r1, [pc, #592]                     84
ldr fp, [r1, #0]                       85
ldr r1, [r4, #0]                       86
str r1, [sp, #0]                       87
ldr r1, [pc, #580]                     88
ldr r9, [r1, #0]                       89
ldr r1, [pc, #576]                     90
ldr r10, [r1, #0]                      91
ldr r1, [pc, #572]                     92
ldr r8, [r1, #0]                       93
ldr r1, [pc, #568]                     94
ldr r7, [r1, #0]                       95
mov r1, r2                             96
sub r3, r3, #3                         97
cmps r3, #30                           98
ldrls pc, [pc, r3 LSL #2]              99
ldr r3, [r0, #-4]                     104
mov r6, #0                            105
str r3, [sp, #0]                      106
ldr r3, [r0] #8                       107
addi_uop r0, r0, #8                   108
cmps r3, #0                           109
bne                                   110
sub r3, r3, #3                        136
cmps r3, #30                          137
ldrls pc, [pc, r3 LSL #2]             138
ldr r8, [r0, #-4]                     157
ldr r3, [r0] #8                       158
addi_uop r0, r0, #8                   159
cmps r3, #0                           160
bne                                   161
sub r3, r3, #3                        179
cmps r3, #30                          180
ldrls pc, [pc, r3 LSL #2]             181
ldr r2, [r0, #-4]                     349
mov r5, #1                            350
str r2, [sp, #4]                      351
mvn r2, #0                            352
ldr r3, [r0] #8                       353
addi_uop r0, r0, #8                   354
cmps r3, #0                           355
bne                                   356
sub r3, r3, #3                        357
cmps r3, #30                          358
ldrls pc, [pc, r3 LSL #2]             359
ldr r3, [r0] #8                       397
addi_uop r0, r0, #8                   398
cmps r3, #0                           399
bne                                   400
sub r3, r3, #3                        433
cmps r3, #30                          434
ldrls pc, [pc, r3 LSL #2]             435
ldr r3, [r0] #8                       473
addi_uop r0, r0, #8                   474
cmps r3, #0                           475
bne                                   476
sub r3, r3, #3                        509
cmps r3, #30                          510
ldrls pc, [pc, r3 LSL #2]             511
ldr r3, [r0] #8                       549
addi_uop r0, r0, #8                   550
cmps r3, #0                           551
bne                                   552
sub r3, r3, #3                        585
cmps r3, #30                          586
ldrls pc, [pc, r3 LSL #2]             587
ldr r7, [r0, #-4]                     625
ldr r3, [r0] #8                       626
addi_uop r0, r0, #8                   627
cmps r3, #0                           628
bne                                   629
sub r3, r3, #3                        668
cmps r3, #30                          669
ldrls pc, [pc, r3 LSL #2]             670
ldr r10, [r0, #-4]                    781
ldr r3, [r0] #8                       782
addi_uop r0, r0, #8                   783
cmps r3, #0                           784
bne                                   785
sub r3, r3, #3                        815
cmps r3, #30                          816
ldrls pc, [pc, r3 LSL #2]             817
